starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:04:33 2023	1675105473	2	263	265	263
Tue Jan 31 01:04:35 2023	1675105475	0	265	265	265
Tue Jan 31 01:04:34 2023	1675105474	0	266	266	193
Tue Jan 31 01:04:34 2023	1675105474	0	266	266	266
Tue Jan 31 01:04:33 2023	1675105473	2	265	267	220
Tue Jan 31 01:04:35 2023	1675105475	0	267	267	266
Tue Jan 31 01:04:38 2023	1675105478	0	267	267	266
Tue Jan 31 01:04:40 2023	1675105480	0	268	268	267
Tue Jan 31 01:04:35 2023	1675105475	0	268	268	244
Tue Jan 31 01:04:38 2023	1675105478	0	268	268	193
Tue Jan 31 01:04:33 2023	1675105473	2	267	268	266
Tue Jan 31 01:04:33 2023	1675105473	2	266	268	266
Tue Jan 31 01:04:34 2023	1675105474	0	269	269	175
Tue Jan 31 01:04:33 2023	1675105473	2	267	269	266
Tue Jan 31 01:04:39 2023	1675105479	0	269	269	268
Tue Jan 31 01:04:38 2023	1675105478	3	266	270	265
Tue Jan 31 01:04:34 2023	1675105474	0	269	270	229
Tue Jan 31 01:04:34 2023	1675105474	0	270	270	269
Tue Jan 31 01:04:35 2023	1675105475	0	270	270	269
Tue Jan 31 01:04:34 2023	1675105474	0	270	270	268
Tue Jan 31 01:04:34 2023	1675105474	0	270	270	237
Tue Jan 31 01:04:38 2023	1675105478	0	270	270	228
Tue Jan 31 01:04:38 2023	1675105478	0	271	271	205
Tue Jan 31 01:04:34 2023	1675105474	0	271	271	264
Tue Jan 31 01:04:34 2023	1675105474	0	271	271	131
Tue Jan 31 01:04:34 2023	1675105474	0	271	272	269
Tue Jan 31 01:04:33 2023	1675105473	3	269	272	269
Tue Jan 31 01:04:39 2023	1675105479	0	272	272	259
Tue Jan 31 01:04:39 2023	1675105479	0	272	272	271
Tue Jan 31 01:04:40 2023	1675105480	1	272	272	231
Tue Jan 31 01:04:38 2023	1675105478	0	272	272	230
Tue Jan 31 01:04:34 2023	1675105474	0	272	273	271
Tue Jan 31 01:04:34 2023	1675105474	0	273	273	200
Tue Jan 31 01:04:40 2023	1675105480	0	273	273	272
Tue Jan 31 01:04:38 2023	1675105478	3	270	273	269
Tue Jan 31 01:04:33 2023	1675105473	2	272	274	269
Tue Jan 31 01:04:35 2023	1675105475	0	274	274	236
Tue Jan 31 01:04:34 2023	1675105474	0	275	275	274
Tue Jan 31 01:04:34 2023	1675105474	1	274	275	272
